Name,Points,YP,Number,School,YDS,TDS,INT
Jayden Hanson,55.08,SR  QB/DB,#7,Central City,477,9,0
Max Carlson,22.32,JR  QB/LB,#10,Newell-Fonda,258,4,4
McKoy Nuss,17.36,SO  QB/LB,#13,Tripoli,234,3,4
Braden Jordan,20.72,SO  QB/LB,#10,Springville,268,3,2
Ty Alcott,32.52,JR  RB/DB,#24,Belle Plaine,313,6,4
Zach Thornburg,21.08,SR  QB/CB,#9,East Mills,252,3,1
Luke Cripps,29.56,SR  QB/S,#1,Boyer Valley,239,5,0
Luke Brennan,18.04,SO  QB/DB,#6,Montezuma,151,3,0
Pryce Rochford,19.32,JR  QB,#22,Edgewood-Colesburg,333,2,2
Max Henstorf,18.12,SR  QB/LB,#7,HLV,203,3,2
Johnny Milburn,25.08,JR  QB/DB,#13,Southeast Warren,252,4,1
Conner Nally,45.96,SR  QB/LB,#5,Bedford,299,9,2
Isaac Loan,6.16,SO  QB/DB,#12,Central Elkader,79,1,1
Austin Lack,6.12,SR  WR/DB,#3,East Union,78,1,1
Keegan Chew,7.08,FR  QB/S,#7,Murray,177,0,0
Caybrin Schilling,7.44,SO  QB/DB,#7,Dunkerton,136,1,2
Mason Hoy,23.96,SO  RB/CB,#9,Springville,224,4,1
Preston Kulper,0.68,SO  WR/DB,#81,Central Elkader,42,0,1
Jack Angell,6.2,SO  QB/DB,#18,Colo-Nesco,55,1,0
Carson Ingles,2.6,SO  RB,#1,Edgewood-Colesburg,90,1,5
Wyatt Silk,8.08,SO  WR/CB,#15,Griswold,77,2,3
Eli Schmidt,15.04,SR  RB/S,#3,Clarksville,176,2,0
Colby Eskildsen,2.28,JR  TE/DL,#12,Northwood-Kensett,82,0,1
Aidan Timm,2.68,SO  QB/DB,#9,Belle Plaine,92,0,1
Quintin White,12.4,SR  WR/DB,#3,Exira-EHK,110,2,0
Brayden Svejda,9.8,JR  QB/CB,#1,Calamus-Wheatland,95,2,2
Trevor Tauber,4.96,SO  QB/S,#12,Newell-Fonda,99,1,3
Tate Mount,5.0,SO  QB/DB,#2,Sidney,100,1,3
Dreyson Morgan,7.2,SO  WR/DB,#10,Gladbrook-Reinbeck,80,1,0
Alex Tiedemann,2.32,SO  QB/DB,#34,Northwood-Kensett,58,0,0
Nolan Birdsall,2.92,JR  RB/LB,#2,West Harrison/Whiting,98,0,1
Keenan Foland,0.28,FR  QB/S,#1,West Harrison/Whiting,32,0,1
Holden Roberts,3.8,SO  TE/DE,#13,Twin Cedars,45,1,2
Oliver Schmitt,8.96,SR  FB,#22,Turkey Valley,124,1,0
Cale Langreck,8.16,FR  QB/LB,#10,Turkey Valley,79,2,3
Kale Moore,6.36,FR  QB/DB,#14,Moravia,59,1,0
Dane Ballou,-1.68,FR  QB/LB,#17,Midland,8,0,2
Josef Dvorak,2.08,JR  RB/DB,#25,Collins-Maxwell,52,0,0
Triton Gwinn,5.04,SR  RB/LB,#22,Mormon Trail,51,1,1
Jeremiah Lynam,-0.12,SR  DB/WR,#9,Siouxland Christian,22,0,1
Hayden Shelman,0.64,FR  DB/RB,#15,WACO,16,0,0
Gunnar Smith,0.36,SO  QB,#6,Riceville,9,0,0
Ethan Bridgewater,0.88,SO  RB/LB,#35,BGM,22,0,0
Drew Muller,14.04,JR  QB/DE,#6,Bishop Garrigan,51,3,0
Brock Binkley,3.16,FR  QB/DB,#8,Lamoni,4,1,1
LaDarius Albright,6.04,JR  TE/LB,#9,Sidney,51,1,0
Lucas Madison,5.56,SR  #5 Fremont-Mills,,,39,1,0
Logan French,0.48,SR  WR/DB,#1,Stanton/Essex,12,0,0
Jacob Martin,1.52,JR  RB/LB,#3,Stanton/Essex,38,0,0
Jackson Embree,7.16,JR  SL/LB,#33,East Mills,79,1,0
MaKade Bloker,10.6,SR  RB/LB,#11,Clarksville,90,2,1
Talan Jacobsen,0.44,FR  QB/LB,#10,North Iowa,11,0,0
Leo Schrader,0.28,FR  QB/DB,#23,Melcher-Dallas,7,0,0
Reece Oswald,4.64,SR  RB/CB,#27,WACO,41,1,1
Wyatt Ragaller,0.48,SO  RB/DB,#8,Ar-We-Va,12,0,0
Carson Wessel,-0.8,SO  QB/LB,#9,Audubon,5,0,1
Michael Hensley,-0.16,JR  RB/LB,#6,Sidney,21,0,1
Hudson Welton,0.16,FR  QB/DB,#11,Central City,4,0,0
Matthew Klostermann,6.08,JR  RB/LB,#22,Central City,52,1,0
Cooper McLaughlin,5.48,SO  QB/S,#8,Central City,37,1,0
Cael Weisskopf,4.72,FR  RB/LB,#5,HLV,18,1,0
Carson Schnieder,5.2,SO  QB/DB,#12,West Bend-Mallard,30,1,0
Trey Cota,-0.76,FR  QB/LB,#10,Kee,6,0,1
Carter Smith,5.04,JR  C/DT,#70,Baxter,26,1,0
Dawson Evans,0.08,SO  QB/DB,#1,Lenox,2,0,0
Brenden Connett,0.12,SR  RB/LB,#20,Twin Cedars,3,0,0
Dain Sprague,0.8,SO  QB/CB,#3,Calamus-Wheatland,20,0,0
Seth Bell,-0.04,FR  QB/DB,#26,Collins-Maxwell,-1,0,0
Cal Heydon,0.96,SO  QB/DB,#11,Coon Rapids-Bayard,24,0,0
Drew Eilers,0.2,JR  WR/DL,#2,Gladbrook-Reinbeck,5,0,0
Brody Koski,0.64,FR  QB/LB,#7,Boyer Valley,16,0,0
Owen Hammersland,0.4,FR  RB/LB,#24,Central Elkader,10,0,0
Dalton Weepie,4.92,JR  TE/LB,#33,Dunkerton,23,1,0
Jed Bielenberg,-0.4,SR  DE/WR,#15,Siouxland Christian,-10,0,0
Brody Wolff,0.12,FR  QB/DB,#3,West Central,3,0,0
Gavyn Thordarson,0.04,SO  RB/DE,#8,Melcher-Dallas,1,0,0
Marshawn Taylor,1.44,SR  RB/CB,#12,Rockford,36,0,0
Carter Anderson,-0.12,JR  QB/DB,#15,Northwood-Kensett,-3,0,0
Evan Lorenzen,5.2,JR  RB/DB,#22,Northwood-Kensett,30,1,0
Jackson McDanel,0.32,SR  RB/LB,#30,Moravia,8,0,0
Teagan Hanson,0.08,SO  QB/S,#10,GTRA,2,0,0
Mark Bower,0.6,JR  RB/DB,#25,Colo-Nesco,15,0,0
Brody King,4.44,JR  TE/LB,#2,Bedford,11,1,0
Cal Pryor,6.72,FR  QB/DB,#12,Woodbine,68,1,0
Makade Paulsen,0.72,JR  QB/DB,#3,CAM,18,0,0
Landon Lindgren,0.28,SO  RB/DB,#11,Lamoni,7,0,0
Rider Kupka,1.64,SO  #21 GMG,,,41,0,0
Jonas Buchanan,0.08,SO  #32 GMG,,,2,0,0
Andreas Buttry,0.68,JR  QB/CB,#5,Sidney,17,0,0
