Name,Points,YP,Number,School,YDS,TDS,INT
Ambrose Savage,-0.72,JR  RB/LB,#12,Lamoni,7,0,1
Reece Chiabotta,0.0,SO  QB/DB,#34,Melcher-Dallas,0,0,0
McKoy Nuss,0.0,SO  QB/LB,#13,Tripoli,0,0,0
Max Carlson,0.0,JR  QB/LB,#10,Newell-Fonda,0,0,0
Ty Alcott,0.0,JR  RB/DB,#24,Belle Plaine,0,0,0
Zach Thornburg,0.0,SR  QB/CB,#9,East Mills,0,0,0
Luke Cripps,0.0,SR  QB/S,#1,Boyer Valley,0,0,0
Luke Brennan,0.2,SO  QB/DB,#6,Montezuma,5,0,0
Colby Eskildsen,14.08,JR  TE/DL,#12,Northwood-Kensett,152,2,0
Pryce Rochford,6.6,JR  QB,#22,Edgewood-Colesburg,65,1,0
Preston Kulper,0.36,SO  WR/DB,#2,Central Elkader,34,0,1
Max Henstorf,0.64,SR  QB/LB,#7,HLV,16,0,0
Conner Nally,0.76,SR  QB/LB,#5,Bedford,19,0,0
Johnny Milburn,0.0,JR  QB/DB,#13,Southeast Warren,0,0,0
Isaac Loan,0.0,SO  QB/DB,#12,Central Elkader,0,0,0
Austin Lack,0.0,SR  WR/DB,#3,East Union,0,0,0
Keegan Chew,0.24,FR  QB/S,#7,Murray,6,0,0
Mason Hoy,0.0,SO  RB/CB,#9,Springville,0,0,0
Caybrin Schilling,0.0,SO  QB/DB,#7,Dunkerton,0,0,0
Carson Ingles,0.0,SO  RB,#1,Edgewood-Colesburg,0,0,0
Aidan Timm,0.0,SO  QB/DB,#9,Belle Plaine,0,0,0
Quintin White,6.8,SR  WR/DB,#3,Exira-EHK,70,1,0
Trevor Tauber,0.0,SO  QB/S,#12,Newell-Fonda,0,0,0
LaDarius Albright,0.84,JR  TE/LB,#9,Sidney,71,0,2
Jack Angell,0.0,SO  QB/DB,#18,Colo-Nesco,0,0,0
Keenan Foland,0.0,FR  QB/S,#1,West Harrison/Whiting,0,0,0
Dane Ballou,0.36,FR  QB/LB,#17,Midland,9,0,0
Wyatt Silk,0.0,SO  WR/CB,#15,Griswold,0,0,0
Jackson Embree,6.04,JR  SL/LB,#33,East Mills,51,1,0
Eli Schmidt,0.0,SR  RB/S,#3,Clarksville,0,0,0
Brayden Svejda,0.0,JR  QB/CB,#1,Calamus-Wheatland,0,0,0
Tate Mount,0.0,SO  QB/DB,#2,Sidney,0,0,0
Dreyson Morgan,0.0,SO  WR/DB,#10,Gladbrook-Reinbeck,0,0,0
Alex Tiedemann,0.0,SO  QB/DB,#34,Northwood-Kensett,0,0,0
Nolan Birdsall,0.0,JR  RB/LB,#2,West Harrison/Whiting,0,0,0
Holden Roberts,0.0,SO  TE/DE,#13,Twin Cedars,0,0,0
Oliver Schmitt,0.0,SR  FB,#22,Turkey Valley,0,0,0
Cale Langreck,0.0,FR  QB/LB,#10,Turkey Valley,0,0,0
Kale Moore,0.0,FR  QB/DB,#14,Moravia,0,0,0
Landon Lindgren,0.96,SO  RB/DB,#11,Lamoni,24,0,0
Michael Hensley,6.36,JR  RB/LB,#6,Sidney,59,1,0
Jacob Martin,0.4,JR  RB/LB,#3,Stanton/Essex,10,0,0
Josef Dvorak,0.0,JR  RB/DB,#25,Collins-Maxwell,0,0,0
Triton Gwinn,0.0,SR  RB/LB,#22,Mormon Trail,0,0,0
Greg Lewis,0.36,FR  RB/LB,#10,East Mills,9,0,0
MaKade Bloker,0.0,SR  RB/LB,#11,Clarksville,0,0,0
Dalton Weepie,0.0,JR  TE/LB,#33,Dunkerton,0,0,0
Jeremiah Lynam,0.0,SR  DB/WR,#9,Siouxland Christian,0,0,0
Hayden Shelman,0.0,FR  DB/RB,#15,WACO,0,0,0
Gunnar Smith,0.0,SO  QB,#6,Riceville,0,0,0
Ethan Bridgewater,0.0,SO  RB/LB,#35,BGM,0,0,0
Drew Muller,0.0,JR  QB/DE,#6,Bishop Garrigan,0,0,0
Brock Binkley,0.0,FR  QB/DB,#8,Lamoni,0,0,0
Trey Cota,-0.52,FR  QB/LB,#10,Kee,12,0,1
Lucas Madison,0.0,SR  #5 Fremont-Mills,,,0,0,0
Logan French,-1.0,SR  WR/DB,#1,Stanton/Essex,0,0,1
Talan Jacobsen,0.0,FR  QB/LB,#10,North Iowa,0,0,0
Leo Schrader,0.0,FR  QB/DB,#23,Melcher-Dallas,0,0,0
Gavyn Thordarson,0.0,SO  RB/DE,#8,Melcher-Dallas,0,0,0
Reece Oswald,0.0,SR  RB/CB,#27,WACO,0,0,0
Teagan Hanson,0.0,SO  QB/S,#10,GTRA,0,0,0
Wyatt Ragaller,0.0,SO  RB/DB,#8,Ar-We-Va,0,0,0
Carson Wessel,0.0,SO  QB/LB,#9,Audubon,0,0,0
Hudson Welton,0.0,FR  QB/DB,#11,Central City,0,0,0
Matthew Klostermann,0.0,JR  RB/LB,#22,Central City,0,0,0
Cooper McLaughlin,0.0,SO  QB/S,#8,Central City,0,0,0
Cael Weisskopf,0.0,FR  RB/LB,#5,HLV,0,0,0
Carson Schnieder,0.0,SO  QB/DB,#12,West Bend-Mallard,0,0,0
Carter Smith,0.0,JR  C/DT,#70,Baxter,0,0,0
Dawson Evans,0.0,SO  QB/DB,#1,Lenox,0,0,0
Brenden Connett,0.0,SR  RB/LB,#20,Twin Cedars,0,0,0
Dain Sprague,0.0,SO  QB/CB,#3,Calamus-Wheatland,0,0,0
Seth Bell,0.0,FR  QB/DB,#26,Collins-Maxwell,0,0,0
Cal Heydon,0.0,SO  QB/DB,#11,Coon Rapids-Bayard,0,0,0
Drew Eilers,0.0,JR  WR/DL,#2,Gladbrook-Reinbeck,0,0,0
Brody Koski,0.0,FR  QB/LB,#7,Boyer Valley,0,0,0
Owen Hammersland,0.0,FR  RB/LB,#24,Central Elkader,0,0,0
Jed Bielenberg,0.0,SR  DE/WR,#15,Siouxland Christian,0,0,0
Brody Wolff,0.0,FR  QB/DB,#3,West Central,0,0,0
Marshawn Taylor,0.0,SR  RB/CB,#12,Rockford,0,0,0
Carter Anderson,0.0,JR  QB/DB,#15,Northwood-Kensett,0,0,0
Evan Lorenzen,0.0,JR  RB/DB,#22,Northwood-Kensett,0,0,0
Jackson McDanel,0.0,SR  RB/LB,#30,Moravia,0,0,0
Mark Bower,0.0,JR  RB/DB,#25,Colo-Nesco,0,0,0
Brody King,0.0,JR  TE/LB,#2,Bedford,0,0,0
Cal Pryor,0.0,FR  QB/DB,#12,Woodbine,0,0,0
Makade Paulsen,0.0,JR  QB/DB,#3,CAM,0,0,0
Mason Ahrenstorff,0.0,SO  WR/S,#11,Harris-Lake Park,0,0,0
Rider Kupka,0.0,SO  #21 GMG,,,0,0,0
Jonas Buchanan,0.0,SO  #32 GMG,,,0,0,0
Andreas Buttry,0.0,JR  QB/CB,#5,Sidney,0,0,0
