Name,Points,Year,Position,Number,School,YDS,TDS
BJ Tate,0.0,JR,RB,#20,North Polk,0,0
Brennan Hayes,0.0,SR,RB/LB,#45,Creston,0,0
Hank Wilmes,0.0,JR,RB/LB,#11,Winterset,0,0
Micah Grier,0.0,SR,RB/LB,#07,Denver,0,0
Adam Baier,0.0,JR,RB/DB,#4,Red Oak,0,0
Kade Mullins,0.0,SR,RB/LB,#23,Martensdale-St Marys,0,0
Jake Pontier,0.0,JR,RB/DB,#25,Indianola,0,0
Drake Canavan,0.0,SR,WR/DE,#2,Eagle Grove,0,0
Fischer Buffington,0.0,JR,RB/DE,#12,East Union,0,0
Landon Montag,0.0,SR,RB/LB,#24,West Bend-Mallard,0,0
Tanner Thurn,0.0,SR,FB/LB,#44,East Buchanan,0,0
Caleb Smith,0.0,JR,RB/LB,#15,Earlham,0,0
Brady Boulton,0.0,SO,QB/DB,#1,Montezuma,0,0
Ra'Shawd Davis,0.0,JR,RB,#24,Dowling Catholic,0,0
Jaxson Drury,0.0,JR,RB/DL,#8,South Hardin,0,0
James Buhlman,0.0,FR,RB/LB,#27,Easton Valley,0,0
Landon McGrann,0.0,JR,QB/DB,#7,Centerville,0,0
Evan Timmerman,0.0,SR,QB/LB,#15,Southwest Valley,0,0
Ryan Sommerlot,0.0,SR,LB/RB,#7,Pocahontas Area,0,0
Demarico Young,0.0,SR,RB/DB,#1,Sioux City North,0,0
Slade Schneider,0.0,JR,RB/DB,#20,Hudson,0,0
Dreshaun Ross,0.0,SO,LB,#1,Fort Dodge,0,0
Kaeden Burger,0.0,SR,RB/LB,#18,Grand View Christian,0,0
Jackson Stevens,0.0,SR,WR/DB,#22,Clear Creek Amana,0,0
Jackson Hutcheson,0.0,SR,RB/CB,#12,Mediapolis,0,0
Brody Walton,0.0,SR,RB/LB,#25,Hampton-Dumont-CAL,0,0
Beau Burns,0.0,SO,QB/DB,#2,BGM,0,0
Preston Wicker,0.0,JR,QB/LB,#12,Madrid,0,0
Fischer Buckingham,0.0,SO,RB/LB,#22,Wayne,0,0
Dayton Truesdale,0.0,SR,RB/LB,#25,Muscatine,0,0
Luther Cameron,0.0,JR,RB/DB,#9,MVAOCOU,0,0
Kinnick Johnson,0.0,SR,RB/LB,#24,Grinnell,0,0
Grant Glausser,0.0,SR,RB/DB,#10,Western Dubuque,0,0
Luke Hardman,0.0,SR,QB/K,#4,Pella,0,0
Coen Matson,0.0,JR,QB/DB,#7,Humboldt,0,0
Alex Manske,0.0,JR,QB/DB,#7,Algona,0,0
Ben Gordon,0.0,SR,RB/S,#26,Van Meter,0,0
Ben Coffman,0.0,JR,RB/LB,#9,English Valleys,0,0
Cody Klein,0.0,SR,RB/DB,#21,Newton,0,0
Kahne Bolsinger,0.0,JR,RB/LB,#20,Clayton Ridge,0,0
Austin Scranton,0.0,JR,RB/LB,#26,Anamosa,0,0
Louden Huisenga,0.0,JR,RB/LB,#8,WACO,0,0
McKoy Nuss,0.0,SO,QB/LB,#13,Tripoli,0,0
Hudson Ehrenfelt,0.0,SO,RB/LB,#34,Mid-Prairie,0,0
Kanen Decker,0.0,JR,QB/DB,#8,Wapsie Valley,0,0
Jackson Brincks,0.0,JR,QB/DB,#13,Center Point-Urbana,0,0
Kael Williams,0.0,SO,RB/LB,#20,Washington,0,0
Ben Langel,0.0,JR,FB/DE,#34,IKM-Manning,0,0
Kendrick Mastin,0.0,SR,RB/LB,#9,Murray,0,0
Gabe Robinson,0.0,SR,QB/CB,#15,Burlington,0,0
Hunter Putman,0.0,SR,QB/DB,#10,Bellevue,0,0
Brayden Svejda,0.0,JR,QB/CB,#1,Calamus-Wheatland,0,0
Caleb Cook,0.0,SR,RB/DB,#5,Pleasantville,0,0
Caleb Mattes,0.0,SR,QB/DB,#9,Newton,0,0
Seth Kregel,0.0,SO,QB/S,#2,Clayton Ridge,0,0
Jace Nelson-Brown,0.0,SR,RB/LB,#26,Emmetsburg,0,0
Jesse Cornelison,0.0,SR,RB/DB,#2,Eddyville-Blakesburg-Fremont,0,0
Cam Buffington,0.0,SR,QB/LB,#33,Winfield-Mt Union,0,0
Noah Borcherding,0.0,JR,RB/LB,#36,Dike-New Hartford,0,0
Mason Hoy,0.0,SO,RB/CB,#9,Springville,0,0
Carson Lullmann,0.0,SR,QB,#7,Storm Lake,0,0
CJ Phillip,0.0,SR,RB,#1,Southeast Polk,0,0
Ben Hansen,0.0,SR,RB/LB,#15,Missouri Valley,0,0
Ambrose Savage,0.0,JR,QB/LB,#12,Lamoni,0,0
Mason McIntosh,0.0,SR,QB/LB,#16,West Harrison,0,0
Breckyn Betenbender,0.0,SR,WR/DB,#22,North Linn,0,0
Jack Mastbergen,0.0,JR,QB/DB,#8,Hartley-Melvin-Sanborn,0,0
Caden Schisel,0.0,SR,TE/LB,#8,Burlington,0,0
Cason Stevenson,0.0,SR,RB/DB,#10,Nevada,0,0
Sam Johnson,0.0,SR,QB,#4,Waukee Northwest,0,0
Isaac Clark,0.0,SR,QB/LB,#12,Gladbrook-Reinbeck,0,0
MaKade Bloker,0.0,SR,RB/LB,#11,Clarksville,0,0
Mike Fuller,0.0,JR,FB/DL,#2,ACGC,0,0
Danny Kinsella,0.0,SR,RB/S,#24,Treynor,0,0
Max Knudsen,0.0,SR,QB/DB,#3,Osage,0,0
Kooper Julseth,0.0,JR,WR/LB,#1,Northwood-Kensett,0,0
Trey Fisher,0.0,JR,RB/LB,#89,Southeast Warren,0,0
Eli Green,0.0,SR,RB/LB,#31,Interstate 35,0,0
Kaleb Stout,0.0,JR,RB/LB,#18,North Mahaska,0,0
Javon Sanders,0.0,JR,RB,#2,Des Moines Lincoln,0,0
London Franklin,0.0,SO,RB/DE,#6,New London,0,0
William Remmert,0.0,SO,WR/RB,#3,Cedar Falls,0,0
Titus Evans,0.0,SR,RB/LB,#12,Nashua-Plainfield,0,0
Calvin Collins,0.0,SR,FB/LB,#34,Logan-Magnolia,0,0
Caden Page,0.0,JR,QB/LB,#8,Murray,0,0
Dominic Tigner,0.0,JR,RB/LB,#22,Norwalk,0,0
Ryan Woodruff,0.0,SO,RB,#24,Waukee Northwest,0,0
Wyatt Vander Werff,0.0,SR,RB/LB,#22,Jesup,0,0
Ryan Treptow,0.0,JR,QB/DB,#14,Jesup,0,0
Sam Boothe,0.0,SR,QB/DB,#12,Central Decatur,0,0
Benny Schirz,0.0,SR,RB/LB,#31,Pella Christian,0,0
Gabe Anderson,0.0,JR,QB/LB,#2,Hinton,0,0
Clayton Miller,0.0,JR,QB/CB,#4,WACO,0,0
Isaac Murphy,0.0,SR,RB/S,#1,GTRA,0,0
Andrew Beran,0.0,JR,RB,#2,Riceville,0,0
Dane Appleby,0.0,JR,QB/LB,#4,Janesville,0,0
Talan Pletz,0.0,SO,RB/LB,#5,Janesville,0,0
Ethan Bibler,0.0,JR,RB/DB,#35,Waverly-Shell Rock,0,0
Drew Sheedy,0.0,SO,RB/LB,#16,Davenport North,0,0
Gavin Menke-Bailey,0.0,JR,QB/LB,#5,New London,0,0
Aiden Gelner,0.0,JR,RB/DB,#33,Nashua-Plainfield,0,0
Noah Gunderson,0.0,SR,FB/LB,#34,South Hamilton,0,0
Cooper Ludwig,0.0,SR,RB/LB,#7,Carroll,0,0
Kinnick Dutcher,0.0,JR,S/RB,#3,Des Moines North,0,0
Jacob Whipple,0.0,JR,RB,#24,Bettendorf,0,0
Sam Klaassen,0.0,SR,RB/LB,#5,Forest City,0,0
Brandon Tournier,0.0,JR,RB/LB,#30,Oelwein,0,0
Kale Shatto,0.0,JR,RB/LB,#32,Estherville Lincoln Central,0,0
Wyatt Oswald,0.0,JR,QB/LB,#10,Coon Rapids-Bayard,0,0
Caden Henkes,0.0,JR,RB,#5,Ankeny,0,0
Ishara Kalolero,0.0,JR,RB,#6,Cedar Rapids Jefferson,0,0
Anthony Solorzano,0.0,SR,RB/LB,#5,ACGC,0,0
Xayvion Anderson,0.0,JR,QB/LB,#1,Marshalltown,0,0
Jamison Ewing,0.0,SO,WR/CB,#8,Southeast Warren,0,0
Etienne Higgins,0.0,JR,QB,#1,Council Bluffs Lincoln,0,0
Christian Ingram,0.0,SR,RB/LB,#5,Boone,0,0
Cody Hageman,0.0,SO,RB/LB,#32,Beckman Catholic,0,0
Conlin Rouse,0.0,SO,RB/LB,#11,Springville,0,0
Gabe Mostek,0.0,SR,RB/DL,#0,Aplington-Parkersburg,0,0
Boudyn White,0.0,SR,QB/DB,#3,Wayne,0,0
Talan Sivertsen,0.0,JR,RB,#6,Linn-Mar,0,0
Nolan Birdsall,0.0,JR,RB/LB,#2,West Harrison,0,0
Lucas Kral,0.0,JR,RB/DB,#12,Garner Hayfield Ventura,0,0
Jr Araiza,0.0,SR,RB/LB,#25,Hartley-Melvin-Sanborn,0,0
Logan McDole,0.0,JR,QB/DB,#5,Washington,0,0
Connor Stephens,0.0,SR,WR/DB,#17,Centerville,0,0
Nick Severseike,0.0,JR,RB/CB,#16,South Hamilton,0,0
Will Howes,0.0,SR,RB/LB,#20,Central Springs,0,0
Graham Beckman,0.0,SR,QB,#8,Iowa City Liberty,0,0
Dallas Smith,0.0,JR,QB/DB,#2,Twin Cedars,0,0
Camden Reinert,0.0,SO,RB/S,#15,Alta-Aurelia,0,0
Gavin Vohs,0.0,JR,RB/LB,#33,Ridge View,0,0
Colin Gordon,0.0,SR,QB/DB,#7,Grundy Center,0,0
Braden McShane,0.0,SR,RB/LB,#30,New Hampton,0,0
Burke Busta,0.0,SR,FB,#9,Turkey Valley,0,0
Noah Schmitz,0.0,SR,RB,#27,Harlan Community,0,0
Jaren Frank,0.0,SR,RB/DB,#34,Wapello,0,0
Brenton Hoard,0.0,JR,QB/DB,#8,Keokuk,0,0
Gavin Kramer,0.0,JR,QB/WR,#9,Northeast,0,0
Brady Collins,0.0,SR,RB/LB,#32,Kingsley-Pierson,0,0
Emmett Snyder,0.0,SR,RB/S,#29,Glidden-Ralston,0,0
Noah Schmidgall,0.0,JR,RB/S,#4,Mediapolis,0,0
Landon Waldschmitt,0.0,JR,QB/DB,#7,Remsen St. Mary's,0,0
Adrian Carrillo,0.0,SR,RB/LB,#1,Spencer,0,0
Brent Yonkovic,0.0,JR,QB/DB,#1,West Delaware,0,0
Macoy Roling,0.0,SO,RB/LB,#20,West Delaware,0,0
Keegan Hisler,0.0,SR,TE/LB,#2,Webster City,0,0
Braden Jordan,0.0,SO,QB/LB,#10,Springville,0,0
Coleton Beasler-Weber,0.0,SR,RB/DB,#1,Xavier,0,0
Connor King,0.0,SR,RB/LB,#27,Saint Ansgar,0,0
Bryson Childress,0.0,JR,QB/S,#2,West Lyon,0,0
Mason Bogan,0.0,JR,RB/CB,#23,Davenport North,0,0
Landon Lindgren,0.0,SO,RB/DB,#11,Lamoni,0,0
Drew Keith,0.0,JR,QB/DB,#3,Wilton,0,0
Tate Platte,0.0,SR,QB/P,#15,Des Moines Christian,0,0
Brody Heifner,0.0,FR,QB/DB,#17,Belmond-Klemme,0,0
Brevin Doll,0.0,SR,RB,#15,ADM,0,0
Jacob White,0.0,JR,RB/LB,#7,Postville,0,0
Tate Mckinley,0.0,SO,RB/LB,#1,Durant,0,0
Zach Sheldon,0.0,JR,RB/LB,#21,Newman Catholic,0,0
Aiden Klostermann,0.0,SR,RB/S,#10,Central City,0,0
Jordon Robinson,0.0,JR,FB/LB,#11,West Central Valley,0,0
Austin Baumhover,0.0,SR,QB/CB,#12,Van Meter,0,0
Dalton Mudderman,0.0,JR,QB/LB,#5,Kee,0,0
Owen Drapeaux,0.0,JR,RB/P,#23,Iowa City Liberty,0,0
Kayden Calfee,0.0,JR,QB/LB,#8,Central Lee,0,0
Chase Johnson,0.0,JR,RB/LB,#25,Central Lee,0,0
Gabe Funk,0.0,JR,QB/DB,#17,Lenox,0,0
Trent Patton,0.0,SR,RB/DL,#27,Glenwood,0,0
Cooper Wierson,0.0,SO,QB/LB,#1,Collins-Maxwell,0,0
Ashton Honnold,0.0,SO,RB/DL,#22,Nodaway Valley,0,0
Levi Reineke,0.0,SO,LB/RB,#29,Boyer Valley,0,0
Dax Suntken,0.0,SO,RB/LB,#9,West Fork,0,0
Zayvion Ellington,0.0,JR,RB/LB,#33,Sergeant Bluff-Luton,0,0
Quinton Tran,0.0,SR,QB,#9,Clear Creek Amana,0,0
Karter Janssen,0.0,SR,RB/LB,#30,Hampton-Dumont-CAL,0,0
Kamden Birkey,0.0,JR,RB/LB,#28,Manson-NW Webster,0,0
AJ Walker,0.0,SO,LB/RB,#6,Oskaloosa,0,0
Jesse Reinier,0.0,SR,QB/DB,#7,Louisa-Muscatine,0,0
Payton Walker,0.0,JR,RB/LB,#2,Mount Pleasant,0,0
Dylan Bosma,0.0,SO,QB/DB,#1,Unity Christian,0,0
Dalton Wingate,0.0,SR,QB/DB,#7,Sibley-Ocheyedan,0,0
Keaton Harpenau,0.0,JR,SL/DB,#2,Remsen St. Mary's,0,0
Carter Meyer,0.0,SR,QB/DB,#2,Maquoketa,0,0
Wyatt Johnson,0.0,JR,RB/LB,#15,Fairfield,0,0
Sven Dahlstrom,0.0,SR,RB/LB,#1,Pekin,0,0
Henry Adam,0.0,FR,RB/LB,#15,Pekin,0,0
JT Laufersweiler,0.0,SR,QB/DB,#11,St. Edmond,0,0
Tanner Arjes,0.0,SR,RB/LB,#7,North Butler,0,0
Jordan Goad,0.0,JR,QB/CB,#1,Springville,0,0
Dylan Maasdam,0.0,SO,RB/DB,#11,MOC-Floyd Valley,0,0
Oliver Potter,0.0,SR,RB/LB,#25,Woodward-Granger,0,0
Kazimir Rebarcak,0.0,JR,QB,#12,Davenport North,0,0
Landon Grindle,0.0,JR,RB/LB,#20,East Sac County,0,0
Ian Blowe,0.0,SR,RB/LB,#7,Akron-Westfield,0,0
Zach Staab,0.0,SR,QB/LB,#5,Vinton-Shellsburg,0,0
Isaiah Roe,0.0,SR,RB/DL,#6,Charles City,0,0
William Anderson,0.0,JR,RB/DB,#33,Logan-Magnolia,0,0
Evan Roden,0.0,SR,RB/DB,#21,Logan-Magnolia,0,0
Matthew Klostermann,0.0,JR,RB/LB,#22,Central City,0,0
Seth Bixler,0.0,SR,WR/S,#1,Midland,0,0
Wade Sankot,0.0,SO,RB/LB,#3,Belle Plaine,0,0
Lane Vokoun,0.0,JR,RB/DB,#35,Belle Plaine,0,0
Kelton Ladwig,0.0,SR,RB/LB,#9,OABCIG,0,0
Andrew Parks,0.0,JR,RB/LB,#30,OABCIG,0,0
Jathan Edgington,0.0,SR,WR/CB,#1,West Central Valley,0,0
Aaron Marino-Moreno,0.0,SR,LB/RB,#7,Des Moines North,0,0
Rory Prazak,0.0,SR,RB/LB,#10,Central Springs,0,0
Ely Rodriguez,0.0,SR,RB/LB,#40,Southwest Valley,0,0
Gavin Barta,0.0,SR,RB,#2,Bettendorf,0,0
Brady Hanson,0.0,JR,RB/S,#34,Southeast Valley,0,0
Jacob Courtney,0.0,SR,QB/S,#4,Waukon,0,0
Grady Godwin,0.0,JR,RB/LB,#34,Saydel,0,0
Blake Myrtue,0.0,SO,QB/LB,#12,Ridge View,0,0
Damian Miller,0.0,SR,QB/S,#8,Des Moines Hoover,0,0
Carter Will,0.0,JR,QB,#12,Davis County,0,0
Tyler Mantel,0.0,SR,RB/LB,#28,Western Christian,0,0
Rhett Hedrick,0.0,JR,LB/RB,#5,Ballard,0,0
Brady Coffman,0.0,JR,QB/DB,#7,Grinnell,0,0
Cord Hamilton,0.0,JR,RB/DB,#15,Central Decatur,0,0
Johnson Morgan,0.0,JR,RB/LB,#42,Pella Christian,0,0
Marcus Guzman,0.0,JR,QB/CB,#12,Fort Madison,0,0
Brooks Binneboese,0.0,JR,RB/LB,#42,Hinton,0,0
Peyton Clark,0.0,SR,RB/LB,#2,North Cedar,0,0
Teagan Weber,0.0,SO,QB/DB,#11,North Cedar,0,0
Chance Chappell,0.0,JR,RB/LB,#22,Lewis Central,0,0
Kolt Knaack,0.0,JR,QB/LB,#4,North Tama,0,0
Aidan Skoda,0.0,JR,RB/DB,#7,Crestwood,0,0
Carson Bruns,0.0,SR,RB/LB,#33,Benton,0,0
Beckett Bakker,0.0,SO,QB/DB,#16,Waukee,0,0
Connor Hassin,0.0,SR,LB/QB,#34,East Marshall,0,0
Drew Wheater,0.0,JR,FB/LB,#33,East Marshall,0,0
Luke Wynn,0.0,JR,QB/DB,#18,Albia,0,0
Breckin Clatt,0.0,JR,RB/DB,#14,Colo-Nesco,0,0
Derek Wilhelm,0.0,JR,RB/WR,#20,Maquoketa,0,0
Traeton Sauerbrei,0.0,SR,RB/DB,#2,Wapsie Valley,0,0
Kaleb Diers,0.0,JR,QB/LB,#17,Marion,0,0
Dante Hedrington,0.0,SR,S/RB,#23,Atlantic,0,0
Andre Rogers,0.0,SO,RB/LB,#23,Council Bluffs Lincoln,0,0
Jaden Damiano,0.0,SR,QB/DB,#15,Iowa Falls-Alden,0,0
Cael Nixon,0.0,JR,RB/LB,#20,Webster City,0,0
Cooper Hird,0.0,JR,RB/DB,#10,Mount Vernon,0,0
Justin Paulsen,0.0,SR,RB/LB,#26,South O'Brien,0,0
Kael Schoneman,0.0,SR,RB/LB,#24,Aplington-Parkersburg,0,0
Tate Hawf,0.0,JR,RB/LB,#1,West Lyon,0,0
Caleb Hemphill,0.0,SR,RB/LB,#3,Harris-Lake Park,0,0
Aiden Flora,0.0,SR,QB,#2,ADM,0,0
Landen Helmrich,0.0,SR,RB/DL,#24,North Linn,0,0
Jeremy Reineke,0.0,SR,OL/LB,#45,Belle Plaine,0,0
Hunter Bowers,0.0,SR,RB/S,#8,East Buchanan,0,0
Cole Higgins,0.0,JR,FB/LB,#23,South Central Calhoun,0,0
Zach Trott,0.0,SR,RB/DB,#20,South Central Calhoun,0,0
Nolan Gannon,0.0,FR,RB/LB,#34,Murray,0,0
Charlie Zimmerman,0.0,SR,QB,#8,Bettendorf,0,0
Perrin Sulzle,0.0,JR,QB/LB,#7,Baxter,0,0
Logan Allender,6.0,SR,RB/LB,#2,Cherokee Washington,0,1
Jaxon Paulsrud,0.0,SO,QB/LB,#1,Cherokee Washington,0,0
AJ Ollin,0.0,JR,QB/DB,#11,Saydel,0,0
Zane Johnson,0.0,JR,RB/LB,#7,Griswold,0,0
Issac Bruns,0.0,JR,RB/LB,#21,Sigourney Keota,0,0
Parker Hays,0.0,JR,RB/DB,#9,Coon Rapids-Bayard,0,0
Caden Schwenker,0.0,SR,QB,#1,West Burlington,0,0
Blaine Brodsky,0.0,SR,LB/RB,#27,Denison-Schleswig,0,0
Jaylon Brooks,0.0,JR,RB/DB,#22,Urbandale,0,0
Justyn Rivera,0.0,SR,RB/DB,#2,Mason City,0,0
Logan Eide,0.0,SR,RB/LB,#43,Mason City,0,0
Jade Spangler,0.0,SR,QB/C,#1,Shenandoah,0,0
Ayden Burrow,0.0,JR,RB/LB,#16,North Fayette Valley,0,0
Colton Kurtz,0.0,SR,WR/DB,#15,Kingsley-Pierson,0,0
Solomon Tea,0.0,SR,RB/LB,#1,Sioux Center,0,0
Connor Kamerman,0.0,SR,RB/LB,#23,Sioux Center,0,0
Joe Koehler,0.0,SR,FB/DE,#24,Rockford,0,0
Owen Tjelmeland,0.0,SR,QB/S,#1,Benton,0,0
Max Carlson,0.0,JR,QB/LB,#10,Newell-Fonda,0,0
Wyatt Powell,0.0,SR,RB/LB,#0,MFL MarMac,0,0
Will Hawthorne,0.0,JR,RB/LB,#43,Gilbert,0,0
Will Barnes,0.0,JR,LB/RB,#23,Cedar Rapids Washington,0,0
Graham Godsey,0.0,JR,RB/LB,#35,Bedford,0,0
Brady Watts,0.0,JR,RB/DB,#10,Council Bluffs Lincoln,0,0
Jamison Poe,0.0,JR,RB/DB,#2,Ames,0,0
Chase Spieker,0.0,JR,QB/DB,#5,CAM,0,0
Will Adam,0.0,JR,QB/S,#9,Pekin,0,0
Wesley Hubbard,0.0,JR,QB/DB,#8,Waverly-Shell Rock,0,0
Gavin Thomas,0.0,SR,QB/DB,#2,Aplington-Parkersburg,0,0
Landon Vander Werff,0.0,JR,RB,#22,Southeast Polk,0,0
Lucas Ahrenstorff,0.0,SR,QB/S,#1,Harris-Lake Park,0,0
Conner Wendel,0.0,SR,QB/LB,#4,Akron-Westfield,0,0
Jake Van Etten,0.0,SR,QB/DB,#5,North Linn,0,0
AJ Maloney,0.0,SO,RB/DB,#1,Center Point-Urbana,0,0
Devon Weisskopf,0.0,JR,RB/LB,#32,HLV,0,0
Gavin Batta,0.0,SR,QB/LB,#12,South Central Calhoun,0,0
Teagen OBrien,0.0,SR,RB/LB,#24,Des Moines North,0,0
Corder Noun Harder,0.0,SR,RB/DB,#11,Lynnville-Sully,0,0
TeKari Doctor,0.0,JR,RB/LB,#24,Clinton,0,0
Todd Rent,0.0,SR,RB/DB,#22,Iowa City West,0,0
Brady Wall,0.0,SO,QB/DB,#3,Maquoketa Valley,0,0
Drew Temple,0.0,SO,TE/LB,#40,Southeast Valley,0,0
Jon Jenness,0.0,SR,RB/LB,#25,Cherokee Washington,0,0
Noah Conley,0.0,SO,QB,#6,Sioux City North,0,0
Camden Davis,0.0,SR,QB/CB,#12,Hudson,0,0
Owen Johnson,0.0,FR,RB/DE,#26,Griswold,0,0
Sawyer Stout,0.0,SR,QB/CB,#24,Sigourney Keota,0,0
Weston Trapp,0.0,JR,RB/DB,#1,Creston,0,0
Hunter Lyon,0.0,JR,QB/LB,#4,Winterset,0,0
Kyler Gerardy,0.0,SR,QB/S,#1,North Scott,0,0
Jerrod Lee,0.0,JR,RB/DL,#23,North Scott,0,0
Luke Rohling,0.0,SR,FB/LB,#16,Calamus-Wheatland,0,0
Tristan Meier,0.0,JR,RB/DB,#26,Glenwood,0,0
Landon Holub,0.0,SR,RB/LB,#23,Tipton,0,0
Niyo Francois,0.0,JR,RB/LB,#5,Des Moines Hoover,0,0
Evan Dorn,0.0,SR,FB/LB,#08,Denver,0,0
Quincy Collins,0.0,JR,WR/LB,#6,West Burlington,0,0
Jake Timmons,0.0,SR,QB/LB,#18,Assumption,0,0
Blaine Schultz,0.0,FR,RB/DB,#24,West Fork,0,0
Sage Suntken,0.0,SR,QB/DB,#3,West Fork,0,0
Owen Hammersland,0.0,FR,RB/LB,#24,Central Elkader,0,0
Daunte Washington,0.0,SR,RB,#23,Cedar Rapids Jefferson,0,0
Treyton Weber,0.0,SR,RB/LB,#22,Independence,0,0
Treyten Foster,0.0,SO,RB/S,#22,Shenandoah,0,0
Anthony King,0.0,SR,RB/LB,#5,Starmont,0,0
Carson Baak,0.0,JR,RB/LB,#4,Emmetsburg,0,0
Brodie Van Regenmorter,0.0,SR,QB/LB,#2,Sioux Center,0,0
Kamdyn Cross,0.0,SR,RB/LB,#2,Lewis Central,0,0
Zach Capper,0.0,SR,RB/DB,#5,West Branch,0,0
Dylan Shelton,0.0,SR,QB/DB,#18,Crestwood,0,0
Quinn McGeough,0.0,JR,FB/S,#21,MFL MarMac,0,0
Tayshawn Gillen,0.0,SO,RB/DE,#32,Gilbert,0,0
Spencer Maddison,0.0,JR,RB/DL,#23,Albia,0,0
Carson Davis,0.0,SR,WR/LB,#8,West Marshall,0,0
Brady Weber,0.0,JR,QB/DB,#5,Mid-Prairie,0,0
Tate Martin,0.0,JR,RB/LB,#32,Maquoketa,0,0
Trey Franck,0.0,SR,FB/LB,#1,Marion,0,0
Gavin Bridgewater,0.0,SR,LB/RB,#18,South Tama,0,0
Daniel Wiese,0.0,SR,QB/S,#9,South Tama,0,0
Jake Edwards,0.0,JR,QB/S,#3,Winfield-Mt Union,0,0
Brodie Ludwig,0.0,JR,RB/LB,#21,Woodbine,0,0
Micah Walston,0.0,SR,RB/LB,#18,Dike-New Hartford,0,0
Barret Schade,0.0,SR,RB/LB,#3,Solon,0,0
Klay Baker,0.0,JR,RB/LB,#17,St. Edmond,0,0
Mason Lucas,0.0,JR,RB/DB,#26,Carlisle,0,0
Damon Head,0.0,SR,RB,#28,Valley,0,0
Tyler Fuller,0.0,SR,RB/DB,#20,Madrid,0,0
Nash Ramirez,0.0,SR,RB/LB,#23,Madrid,0,0
Sam Benson,0.0,SO,TE/LB,#4,South Hardin,0,0
Joe Morris,0.0,JR,QB/S,#11,Westwood,0,0
Brant Dickinson,0.0,SR,RB/LB,#3,Vinton-Shellsburg,0,0
Dylan Muszynski,0.0,JR,RB,#22,Linn-Mar,0,0
Drew Kluender,0.0,SR,QB/CB,#10,Woodbury Central,0,0
Seth Hudson,0.0,SR,QB/S,#7,East Union,0,0
Cael Weisskopf,0.0,FR,RB/LB,#5,HLV,0,0
Logan Grimm,0.0,SR,RB/LB,#34,West Bend-Mallard,0,0
Jackson Schulte,0.0,SR,RB/LB,#21,Kee,0,0
Trevor Scott,0.0,SR,RB/DB,#15,Cedar Rapids Kennedy,0,0
Kale Zuehl,0.0,SR,RB/LB,#7,West Hancock,0,0
Caden Chapman,0.0,SR,RB/LB,#11,Okoboji,0,0
Landon Duvall,0.0,JR,QB/DL,#10,Okoboji,0,0
Sutton Koller,0.0,JR,RB,#24,Iowa City Liberty,0,0
