Name,Points,Year,Position,Number,School,YDS,TDS
Kael Caikoski,0.0,SR,RB/LB,#22,Melcher-Dallas,0.0,0.0
Chase Spieker,33.1,JR,QB/DB,#5,CAM,151.0,3.0
Cael Weisskopf,4.1,FR,RB/LB,#5,HLV,41.0,0.0
Jack Adams,12.9,JR,QB,#7,Riceville,69.0,1.0
Carter Oberbroeckling,36.5,SR,RB,#34,Edgewood-Colesburg,185.0,3.0
Fischer Buffington,2.5,JR,RB/DE,#12,East Union,25.0,0.0
Dalton Mudderman,27.6,JR,QB/LB,#5,Kee,96.0,3.0
Landon Lindgren,2.6,SO,RB/DB,#11,Lamoni,26.0,0.0
McKoy Nuss,0.0,SO,QB/LB,#13,Tripoli,0.0,0.0
Brady Boulton,12.9,SO,QB/DB,#1,Montezuma,69.0,1.0
Wyatt Ragaller,3.6,SO,RB/DB,#8,Ar-We-Va,36.0,0.0
Ben Coffman,52.3,JR,RB/LB,#9,English Valleys,283.0,4.0
Brodie Ludwig,13.3,JR,RB/LB,#21,Woodbine,73.0,1.0
Mason McIntosh,0.0,SR,QB/LB,#16,West Harrison/Whiting,0.0,0.0
Gabe Funk,40.4,JR,QB/DB,#17,Lenox,164.0,4.0
Trenton Struss,0.0,SR,RB/S,#21,Newell-Fonda,0.0,0.0
Pryce Rochford,58.4,JR,QB,#22,Edgewood-Colesburg,284.0,5.0
Louden Huisenga,0.0,JR,RB/LB,#8,WACO,0.0,0.0
Luke Rohling,6.1,SR,FB/LB,#16,Calamus-Wheatland,61.0,0.0
Owen Garside,37.3,JR,S/QB,#3,Boyer Valley,193.0,3.0
Edde Gonzalez,10.2,SR,RB/LB,#1,West Central,102.0,0.0
Mark Bower,9.2,JR,RB/DB,#25,Colo-Nesco,32.0,1.0
Owen Backer,10.9,SO,RB/S,#22,Clarksville,49.0,1.0
Jacob Martin,1.3,JR,RB/LB,#3,Stanton/Essex,13.0,0.0
Dawson Smith,20.1,SR,RB/LB,#20,Iowa Valley,81.0,2.0
Sam Myer,13.3,JR,LB/RB,#33,St. Edmond,73.0,1.0
Trey Fisher,0.0,JR,RB/LB,#89,Southeast Warren,0.0,0.0
Lucas Ahrenstorff,1.9,SR,QB/S,#1,Harris-Lake Park,19.0,0.0
Caleb Hemphill,2.9,SR,RB/LB,#3,Harris-Lake Park,29.0,0.0
Brett Plants,11.8,JR,RB/LB,#22,Montezuma,58.0,1.0
Lane Vokoun,11.3,JR,RB/DB,#35,Belle Plaine,53.0,1.0
Carson Frerichs,2.3,SR,RB/LB,#28,North Iowa,23.0,0.0
Anthony Harrington,0.0,SO,QB/LB,#2,Midland,0.0,0.0
Marshawn Taylor,12.0,SR,RB/CB,#12,Rockford,60.0,1.0
Luke Cripps,7.5,SR,QB/S,#1,Boyer Valley,15.0,1.0
Silas Walston,6.8,SR,RB/DE,#33,Bedford,68.0,0.0
Tate Foertsch,11.9,SO,QB/DB,#7,Bishop Garrigan,59.0,1.0
Dalton Kitzman,21.8,SR,RB/LB,#4,Lenox,98.0,2.0
Nolan Grebin,-1.8,SR,QB/S,#2,Stanton/Essex,-18.0,0.0
Burke Busta,3.0,SR,FB,#9,Turkey Valley,30.0,0.0
Owen Hammersland,8.5,FR,RB/LB,#24,Central Elkader,85.0,0.0
Cade Robinson,13.2,JR,WR/CB,#12,Baxter,72.0,1.0
Jordan Martin-England,9.2,JR,RB/LB,#18,Lenox,32.0,1.0
James Buhlman,10.4,FR,RB/LB,#27,Easton Valley,104.0,0.0
Cam Buffington,25.4,SR,QB/LB,#33,Winfield-Mt Union,74.0,3.0
Parker Hays,5.5,JR,RB/DB,#9,Coon Rapids-Bayard,55.0,0.0
Ty Christensen,10.1,SO,,#5,Don Bosco,41.0,1.0
Kambridge Wainscott,1.5,SR,QB/DB,#15,Waterloo Christian,15.0,0.0
Caden Page,11.8,JR,QB/LB,#8,Murray,58.0,1.0
Owen Johnson,0.0,FR,RB/DE,#26,Griswold,0.0,0.0
Max Carlson,0.0,JR,QB/LB,#10,Newell-Fonda,0.0,0.0
Braden Jordan,2.1,SO,QB/LB,#10,Springville,21.0,0.0
Dane Ballou,5.2,FR,QB/LB,#17,Midland,52.0,0.0
Isaac Clark,13.5,SR,QB/LB,#12,Gladbrook-Reinbeck,15.0,2.0
Jackson McDanel,1.8,SR,RB/LB,#30,Moravia,18.0,0.0
Talan Pletz,8.9,SO,RB/LB,#5,Janesville,29.0,1.0
Caden Oswald,28.5,FR,RB/DB,#6,Coon Rapids-Bayard,165.0,2.0
Eli Schmidt,-0.1,SR,RB/S,#3,Clarksville,-1.0,0.0
Broox Stockman,9.9,SO,RB/LB,#20,Montezuma,39.0,1.0
Isaac Murphy,10.1,SR,RB/S,#1,GTRA,41.0,1.0
Talan Driscoll,0.0,FR,RB/LB,#8,Easton Valley,0.0,0.0
Nolan Birdsall,0.0,JR,RB/LB,#2,West Harrison/Whiting,0.0,0.0
Jeremiah Marquette,0.9,SR,RB/LB,#25,Waterloo Christian,9.0,0.0
Degin Dixson,2.0,SR,QB/CB,#3,Mormon Trail,20.0,0.0
Jacob Berens,2.4,SR,RB/LB,#34,Boyer Valley,24.0,0.0
Aiden Klostermann,18.0,SR,RB/S,#10,Central City,60.0,2.0
Austin Lack,5.6,SR,WR/DB,#3,East Union,56.0,0.0
Wade Sankot,2.5,SO,RB/LB,#3,Belle Plaine,25.0,0.0
Jackson Schulte,1.6,SR,RB/LB,#21,Kee,16.0,0.0
Kendrick Mastin,6.1,SR,RB/LB,#9,Murray,1.0,1.0
Lucas Madison,9.6,SR,,#5,Fremont-Mills,36.0,1.0
Nathan Moon,20.9,FR,RB/LB,#6,Clarksville,89.0,2.0
Wade Ragaller,1.3,JR,RB/LB,#28,Ar-We-Va,13.0,0.0
Mason Steinhoff,3.1,SO,RB/LB,#11,Griswold,31.0,0.0
Caleb Urban,0.0,JR,WR/CB,#3,East Mills,0.0,0.0
Alex Daniel,10.5,SO,RB/LB,#27,Glidden-Ralston,45.0,1.0
Garrison Motsinger,32.0,JR,RB/S,#4,Bedford,140.0,3.0
Zane Johnson,0.1,JR,RB/LB,#7,Griswold,1.0,0.0
Brody Paulsen,20.3,SR,RB/DB,#2,CAM,83.0,2.0
Austin Williams,4.1,SR,RB/LB,#20,CAM,41.0,0.0
Seth Bixler,0.2,SR,WR/S,#1,Midland,2.0,0.0
Brayden Svejda,19.8,JR,QB/CB,#1,Calamus-Wheatland,78.0,2.0
Sawyer Forney,5.7,SO,,#2,Fremont-Mills,-3.0,1.0
Kale Doeppke,0.0,SR,WR/DB,#5,Central Elkader,0.0,0.0
Christian Pierce,0.4,SO,QB/S,#4,Rockford,4.0,0.0
Reece Chiabotta,0.0,SO,QB/DB,#34,Melcher-Dallas,0.0,0.0
Joe Koehler,2.1,SR,FB/DE,#24,Rockford,21.0,0.0
Blayne Smith,0.5,JR,QB/DB,#15,Ar-We-Va,5.0,0.0
Conlin Rouse,-0.3,SO,RB/LB,#11,Springville,-3.0,0.0
Seth Hudson,9.2,SR,QB/S,#7,East Union,32.0,1.0
Keaton Harpenau,0.0,JR,SL/DB,#2,Remsen St. Mary's,0.0,0.0
Klay Baker,0.0,JR,RB/LB,#17,St. Edmond,0.0,0.0
Clayton Miller,0.0,JR,QB/CB,#4,WACO,0.0,0.0
Deshon Anderson,13.0,SO,RB/LB,#32,English Valleys,70.0,1.0
Grant Finck,0.8,JR,RB/LB,#10,Dunkerton,8.0,0.0
Brady Koenck,0.0,JR,RB/LB,#26,Remsen St. Mary's,0.0,0.0
Kyler Knaack,15.3,JR,,#20,Don Bosco,33.0,2.0
Grant Whitehead,0.0,JR,QB/DB,#15,Sidney,0.0,0.0
Jayden Hanson,25.6,SR,QB/DB,#7,Central City,76.0,3.0
Aidan Timm,4.1,SO,QB/DB,#9,Belle Plaine,41.0,0.0
Austin Vaverka,9.4,SR,RB/LB,#5,Gladbrook-Reinbeck,34.0,1.0
Brodyn Pryor,8.7,SO,QB/DB,#8,Woodbine,27.0,1.0
Cainan Travis,10.9,JR,WR/LB,#20,Baxter,49.0,1.0
Dallas Smith,0.0,JR,QB/DB,#2,Twin Cedars,0.0,0.0
Colin Snyder,1.6,SO,RB/LB,#24,Dunkerton,16.0,0.0
Graham Godsey,1.9,JR,RB/LB,#35,Bedford,19.0,0.0
Jed Tyler,1.1,SR,QB/DB,#7,West Central,11.0,0.0
Conner Nally,15.3,SR,QB/LB,#5,Bedford,33.0,2.0
Cole Milks,0.1,SR,RB/S,#11,Winfield-Mt Union,1.0,0.0
Simon Showalter,0.0,JR,RB/LB,#6,Stanton/Essex,0.0,0.0
Matthew Klostermann,11.6,JR,RB/LB,#22,Central City,56.0,1.0
Logan French,0.9,SR,WR/DB,#1,Stanton/Essex,9.0,0.0
Levi Reineke,1.0,SO,LB/RB,#29,Boyer Valley,10.0,0.0
Landon Gjerde,2.0,SO,RB/LB,#1,Colo-Nesco,20.0,0.0
Evan Lorenzen,4.2,JR,RB/DB,#22,Northwood-Kensett,42.0,0.0
Jordan Goad,0.0,JR,QB/CB,#1,Springville,0.0,0.0
Logan Grimm,6.2,SR,RB/LB,#34,West Bend-Mallard,2.0,1.0
Alex Hansen,19.3,JR,RB/LB,#22,Exira-EHK,73.0,2.0
Trevor Tauber,4.2,SO,QB/S,#12,Newell-Fonda,42.0,0.0
Dylan Marquart,-3.2,JR,QB/DB,#3,Dunkerton,-32.0,0.0
Sheldon Vandenberg,12.6,JR,OG/LB,#12,East Mills,66.0,1.0
Bryce Brabham,7.4,SO,RB/DB,#9,Exira-EHK,14.0,1.0
Chase Klatt,2.3,SO,TE/CB,#4,Calamus-Wheatland,23.0,0.0
Sawyer House,18.7,SR,WR/CB,#4,Midland,67.0,2.0
Brenden Connett,0.0,SR,RB/LB,#20,Twin Cedars,0.0,0.0
Dalton Weepie,26.6,JR,TE/LB,#33,Dunkerton,86.0,3.0
Ty Tauber,0.0,SR,OT/LB,#25,Newell-Fonda,0.0,0.0
Aiden Hellman,10.9,FR,,#18,Don Bosco,49.0,1.0
Owen Murphy,0.0,JR,WR/S,#10,Bishop Garrigan,0.0,0.0
Michael Raines,3.2,SR,TE/LB,#26,New London,32.0,0.0
Keagan Lee,0.1,SO,QB/DB,#17,Easton Valley,1.0,0.0
Logan Busta,8.7,SO,QB/DB,#1,Turkey Valley,27.0,1.0
Nate Curry,0.0,SR,RB/LB,#38,Twin Cedars,0.0,0.0
Jackson Embree,1.4,JR,SL/LB,#33,East Mills,14.0,0.0
Colby Eskildsen,4.0,JR,TE/DL,#12,Northwood-Kensett,40.0,0.0
Trey Edeker,0.0,SO,RB/DE,#20,WACO,0.0,0.0
Hayden Loftsgard,0.0,JR,WR/CB,#2,Tripoli,0.0,0.0
Aldo Esteban-Cabrera,0.9,JR,RB/LB,#22,Murray,9.0,0.0
Reece Oswald,0.0,SR,RB/CB,#27,WACO,0.0,0.0
Kyle Boeckmann,0.0,JR,RB/LB,#8,Tripoli,0.0,0.0
Jabari Woodbury,1.9,SR,,#2,GMG,19.0,0.0
Kinnick Henning,0.0,SO,RB/LB,#22,St. Edmond,0.0,0.0
Christopher Greif,0.8,SR,LB/FB,#44,Central City,8.0,0.0
Adam Swaney,1.5,SO,RB/LB,#44,Bedford,15.0,0.0
Carson Wessel,6.2,SO,QB/LB,#9,Audubon,2.0,1.0
Ethan Bauer,12.1,SO,RB/DB,#4,Coon Rapids-Bayard,61.0,1.0
Drew Stanek,0.1,JR,RB/LB,#16,Gladbrook-Reinbeck,1.0,0.0
Braxton Bormann,0.0,SO,RB/LB,#21,Central Elkader,0.0,0.0
Jed Bielenberg,0.4,SR,DE/WR,#15,Siouxland Christian,4.0,0.0
Trent Robertson,12.7,SR,WR/LB,#5,North Iowa,67.0,1.0
Ethan Marso,9.4,SO,FB/LB,#11,Bishop Garrigan,34.0,1.0
Braedon Godfread,1.5,JR,TE/S,#10,Sidney,15.0,0.0
Gavin DeFord,0.8,JR,RB/LB,#44,Waterloo Christian,8.0,0.0
Rogellio Gonzalez,0.7,SO,FB/DB,#10,West Central,7.0,0.0
Wyatt Nelson,0.0,JR,RB/DB,#9,West Central,0.0,0.0
Rocky Johnson,0.0,FR,RB/DB,#15,Melcher-Dallas,0.0,0.0
Isaac Hill,0.0,SO,OL/DL,#60,Springville,0.0,0.0
Luke Lansing,0.6,SO,RB/LB,#44,Springville,6.0,0.0
Judson Beary,0.0,JR,RB/LB,#6,Twin Cedars,0.0,0.0
Treyton Franzen,0.0,FR,FB/LB,#21,Turkey Valley,0.0,0.0
Wyatt Throckmorton,-0.8,SR,WR/LB,#23,Moravia,-8.0,0.0
Owen Bral,6.9,JR,QB/LB,#3,Iowa Valley,9.0,1.0
Chance Hoyt,12.0,FR,RB/LB,#4,Iowa Valley,60.0,1.0
Cannon Hansen,6.8,JR,TE/DL,#33,Exira-EHK,8.0,1.0
Peter Kielman,5.0,JR,TE/LB,#21,Clarksville,50.0,0.0
Bram Bielenberg,-0.3,FR,RB/LB,#35,Siouxland Christian,-3.0,0.0
John McLaughlin,0.0,SR,WR/CB,#6,WACO,0.0,0.0
Brenden Wheeler,2.6,JR,RB/LB,#17,Southeast Warren,26.0,0.0
Jake Edwards,8.3,JR,QB/S,#3,Winfield-Mt Union,23.0,1.0
Bryer Jack,-0.9,FR,QB/DB,#14,HLV,-9.0,0.0
Sean McCulloch,-0.1,FR,QB/DB,#24,HLV,-1.0,0.0
Ty Lindquist,0.0,JR,FB/LB,#18,Dunkerton,0.0,0.0
Jesse Myhr,0.7,JR,FB/DE,#8,Moravia,7.0,0.0
Corbin Jacobs-Jewell,0.0,JR,TE/DE,#10,New London,0.0,0.0
Tyler Rodgers,0.9,JR,WR/CB,#17,Mormon Trail,9.0,0.0
Drew Eilers,19.5,JR,WR/DL,#2,Gladbrook-Reinbeck,75.0,2.0
Hunter Hardin,0.0,JR,RB/LB,#36,Colo-Nesco,0.0,0.0
Marco Avila,0.7,JR,FB,#52,Riceville,7.0,0.0
Mason Maschmann,8.2,SR,RB/LB,#11,BGM,22.0,1.0
London Franklin,0.0,SO,RB/DE,#6,New London,0.0,0.0
Bode Wyman,0.4,JR,QB/CB,#8,Griswold,4.0,0.0
Derek Bartlett,0.0,SR,LB/RB,#4,Stanton/Essex,0.0,0.0
Jack Gordon,1.4,SR,WR/DL,#18,East Mills,14.0,0.0
Lucas Christian,1.9,JR,WR/S,#18,Glidden-Ralston,19.0,0.0
John Deemer,0.0,FR,RB/LB,#28,Bedford,0.0,0.0
Tanner Troendle,0.0,FR,RB/DB,#23,Kee,0.0,0.0
Logan Sharpe,0.0,JR,RB/LB,#28,Central Elkader,0.0,0.0
Riley Garrett,0.0,JR,RB/DL,#11,Dunkerton,0.0,0.0
Daniel Britt,0.0,JR,RB/S,#3,Janesville,0.0,0.0
Isaac Delange,0.0,JR,WR/CB,#25,Bishop Garrigan,0.0,0.0
Cale Westerbeck,0.0,SO,WR/DB,#4,New London,0.0,0.0
Logan Heim,0.0,SO,WR/CB,#7,Tripoli,0.0,0.0
Braxston Bucknell,0.0,FR,OL/DL,#99,Tripoli,0.0,0.0
Jayden Butler,15.0,JR,TE/DE,#22,Janesville,30.0,2.0
Blayne Porter,17.3,SO,QB/S,#1,Janesville,53.0,2.0
Callan Messerich,-1.1,SO,WR/DB,#6,Easton Valley,-11.0,0.0
Rider Kupka,-0.2,SO,,#21,GMG,-2.0,0.0
Devon Weisskopf,0.9,JR,RB/LB,#32,HLV,9.0,0.0
Carter Seitz,0.0,JR,WR/DB,#7,Kee,0.0,0.0
Keegan Chew,6.9,FR,QB/S,#7,Murray,9.0,1.0
Gio Cruz,0.7,SR,RB/DB,#5,Lenox,7.0,0.0
Trayton Cink,0.0,JR,RB/LB,#26,Bishop Garrigan,0.0,0.0
Kace Patton,0.0,SR,WR/CB,#10,Murray,0.0,0.0
Elliott Ward,0.5,SR,RB/LB,#1,Sidney,5.0,0.0
Wyatt Kelley,-0.5,FR,RB/LB,#19,East Union,-5.0,0.0
Jeremy Reineke,0.6,SR,OL/LB,#45,Belle Plaine,6.0,0.0
Adyson Stark,0.0,JR,RB/DB,#6,Belle Plaine,0.0,0.0
Lincoln Albertson,0.0,SO,RB/LB,#32,Moravia,0.0,0.0
Jackson Bellcock,4.1,FR,FB/LB,#20,Newell-Fonda,41.0,0.0
Eli Miller,1.5,SR,RB/LB,#7,Winfield-Mt Union,15.0,0.0
Karter Thiessen,0.0,SR,RB/DB,#9,Iowa Valley,0.0,0.0
Justin Weispfenning,0.0,JR,RB/DB,#3,Easton Valley,0.0,0.0
Wyatt Christiansen,14.2,SO,RB/LB,#10,Midland,82.0,1.0
Andrew Kolsrud,0.0,SR,WR/CB,#16,Kee,0.0,0.0
Jarod Reams,0.0,JR,RB/DB,#8,Kee,0.0,0.0
Lawson Kling,9.6,SR,,#7,Fremont-Mills,36.0,1.0
Greg Lewis,-1.8,FR,RB/LB,#10,East Mills,-18.0,0.0
Isaac Messamaker,0.1,JR,FB/LB,#25,Moravia,1.0,0.0
Jack Angell,0.0,SO,QB/DB,#18,Colo-Nesco,0.0,0.0
Drew Urbanek,0.0,FR,QB/CB,#10,Tripoli,0.0,0.0
Tucker Youngblut,8.4,SO,,#22,Don Bosco,24.0,1.0
Johnathan Riesselman,0.0,SO,WR/DB,#7,Ar-We-Va,0.0,0.0
Tayler Kibbee,0.6,SO,RB/LB,#11,Janesville,6.0,0.0
Travis Noel,0.0,FR,DE/RB,#32,Lamoni,0.0,0.0
Devin Meyer,0.6,SR,TE/LB,#15,Harris-Lake Park,6.0,0.0
LaDarius Albright,-2.9,JR,TE/LB,#9,Sidney,-29.0,0.0
Josten Kilworth,1.9,SO,TE/DL,#6,Exira-EHK,19.0,0.0
Seth Bell,0.0,FR,QB/DB,#26,Collins-Maxwell,0.0,0.0
Kaden Schmidt,0.0,FR,RB/LB,#18,Turkey Valley,0.0,0.0
Brenner Sullivan,20.0,SO,RB/LB,#22,Woodbine,80.0,2.0
Makade Paulsen,0.0,JR,QB/DB,#3,CAM,0.0,0.0
Riley Raines,0.0,FR,RB/LB,#13,New London,0.0,0.0
Chris Hanson,0.4,FR,FB/LB,#32,Central City,4.0,0.0
Drew Fehr,1.6,SR,RB/DB,#7,West Bend-Mallard,16.0,0.0
Caden Kaufman,0.0,FR,RB/LB,#15,Lenox,0.0,0.0
Hudson Clark,11.0,SO,WR/DB,#3,Gladbrook-Reinbeck,50.0,1.0
Jader Sanchez,0.5,SR,RB/DB,#4,Lone Tree,5.0,0.0
Gavyn Thordarson,0.0,SO,RB/DE,#8,Melcher-Dallas,0.0,0.0
Caleb Swedin,0.7,SO,RB/LB,#7,GTRA,7.0,0.0
Brayden Chester,0.1,JR,RB/LB,#34,CAM,1.0,0.0
Jack Follmann,0.0,SR,TE/LB,#40,CAM,0.0,0.0
Kayden Winther,0.0,FR,RB/LB,#13,CAM,0.0,0.0
Jamison Martin,0.0,JR,RB/DB,#11,West Harrison/Whiting,0.0,0.0
Quintin White,4.8,SR,WR/DB,#3,Exira-EHK,48.0,0.0
Kolben Robinson,0.0,SO,TE/LB,#25,Lenox,0.0,0.0
Cale Langreck,0.0,FR,QB/LB,#10,Turkey Valley,0.0,0.0
Sam Fettkether,0.0,SR,OL/LB,#47,Central Elkader,0.0,0.0
Charlie Schaefer,0.0,SR,QB/S,#6,North Iowa,0.0,0.0
Ryan Heaton,0.0,JR,FB/DE,#43,Melcher-Dallas,0.0,0.0
David Rose,0.0,JR,WR/DB,#5,Montezuma,0.0,0.0
Lerik McCarty,0.0,JR,RB/LB,#2,WACO,0.0,0.0
Cade Tentinger,0.0,JR,RB/DB,#5,Remsen St. Mary's,0.0,0.0
Trenton Beard,9.2,SR,OL/LB,#34,Colo-Nesco,32.0,1.0
Trace Kingsbury,0.0,SO,WR/CB,#6,Tripoli,0.0,0.0
Spencer Munk,8.8,FR,RB/LB,#28,Woodbine,28.0,1.0
Kaden Kobliska,0.2,SR,WR,#8,Riceville,2.0,0.0
Brigham Porter,0.0,SO,SL/DB,#23,New London,0.0,0.0
Cash Weber,0.7,SO,RB/DE,#2,Central City,7.0,0.0
Dashny Munyakazi,9.4,SO,RB/S,#3,Central City,34.0,1.0
Trey Cota,-0.2,FR,QB/LB,#10,Kee,-2.0,0.0
Wyatt Leonard,0.0,SO,RB/LB,#21,Lenox,0.0,0.0
Gavin Clark,0.0,SO,RB/LB,#25,Twin Cedars,0.0,0.0
Zach Thornburg,0.0,SR,QB/CB,#9,East Mills,0.0,0.0
Luke Brennan,1.7,SO,QB/DB,#6,Montezuma,17.0,0.0
Hayden Shelman,0.0,FR,DB/RB,#15,WACO,0.0,0.0
Johnny Milburn,-0.5,JR,QB/DB,#13,Southeast Warren,-5.0,0.0
Colin Hartl,0.0,JR,RB/LB,#38,Audubon,0.0,0.0
Keenan Foland,0.0,FR,QB/S,#1,West Harrison/Whiting,0.0,0.0
Parker Fister,2.8,SO,RB/DB,#20,Exira-EHK,28.0,0.0
Jack Osborne,0.0,FR,QB/DB,#18,English Valleys,0.0,0.0
Gavin Ford,0.0,JR,QB/LB,#12,Stanton/Essex,0.0,0.0
Levi Evans,0.0,SO,TE/DE,#20,Mormon Trail,0.0,0.0
Landon Gibbs,-1.3,FR,RB/CB,#24,East Mills,-13.0,0.0
Tristen Burkhart,0.0,FR,RB/LB,#24,Boyer Valley,0.0,0.0
Preston Kulper,-1.1,SO,WR/DB,#2,Central Elkader,-11.0,0.0
Leo Schrader,0.0,FR,QB/DB,#23,Melcher-Dallas,0.0,0.0
Jacksyn Hogrefe,0.9,SO,RB/DB,#26,Newell-Fonda,9.0,0.0
Kenny Ness,0.0,SO,LB/WR,#6,GTRA,0.0,0.0
Lane Genkinger,2.5,JR,RB/LB,#24,Winfield-Mt Union,25.0,0.0
Ian Smith,0.6,JR,TE/LB,#5,Iowa Valley,6.0,0.0
Reagan Richardson,0.0,FR,RB,#22,Riceville,0.0,0.0
Ethan Bridgewater,0.0,SO,RB/LB,#35,BGM,0.0,0.0
Dakota Heishman,0.8,JR,WR/DB,#8,BGM,8.0,0.0
Adam Bensley,0.0,SO,SL/LB,#12,Harris-Lake Park,0.0,0.0
Gabe Johnson,0.0,SR,QB/LB,#3,Sidney,0.0,0.0
Rason Grail,2.5,SR,WR/DB,#23,East Union,25.0,0.0
Chaz Cornelison,0.0,JR,RB/DB,#31,East Union,0.0,0.0
Landyn Ankrum,0.0,SO,RB/LB,#36,HLV,0.0,0.0
Peyton Cook,1.4,JR,QB/CB,#2,Griswold,14.0,0.0
Alex Rasmussen,0.0,FR,RB/LB,#88,Griswold,0.0,0.0
Austin Boege,0.0,SO,RB/LB,#22,Collins-Maxwell,0.0,0.0
Trent Hoback,0.0,SR,LB/RB,#3,Lone Tree,0.0,0.0
Milton Cushion,0.2,FR,RB/DB,#11,West Central,2.0,0.0
Cruz DeJong,0.9,SR,TE/LB,#40,Montezuma,9.0,0.0
Carter Anderson,16.6,JR,QB/DB,#15,Northwood-Kensett,46.0,2.0
Alex Tiedemann,0.0,SO,QB/DB,#34,Northwood-Kensett,0.0,0.0
Gannon Short,0.0,JR,RB/DB,#11,Colo-Nesco,0.0,0.0
Ashton Nally,8.4,SO,QB/CB,#1,Bedford,24.0,1.0
David Schmitz,0.0,JR,,#4,Don Bosco,0.0,0.0
Kason Calhoun,0.0,FR,RB/DB,#32,CAM,0.0,0.0
Ty Flathers,0.0,SR,RB/DB,#15,CAM,0.0,0.0
Drew Muller,0.0,JR,QB/DE,#6,Bishop Garrigan,0.0,0.0
Ezekiel Konkler,0.0,SR,WR/CB,#20,Audubon,0.0,0.0
Tate Mount,0.0,SO,QB/DB,#2,Sidney,0.0,0.0
Terrian Islas,0.0,JR,TE/DE,#5,East Union,0.0,0.0
Jack Anderson,0.0,JR,RB/DL,#2,Baxter,0.0,0.0
Carter Rycroft,0.0,SO,,#4,Fremont-Mills,0.0,0.0
Brock Micetich,0.0,FR,RB/LB,#36,Twin Cedars,0.0,0.0
Holden Roberts,0.0,SO,TE/DE,#13,Twin Cedars,0.0,0.0
Kellen Whitman,0.0,FR,FB/LB,#32,Calamus-Wheatland,0.0,0.0
Cal Heydon,0.0,SO,QB/DB,#11,Coon Rapids-Bayard,0.0,0.0
