Name,Points,YP,Number,School,YDS,TDS,INT
Drew Muller,9.68,JR  QB/DE,#6,Bishop Garrigan,42,2,0
Carson Wessel,-0.8,SO  QB/LB,#9,Audubon,5,0,1
Hudson Welton,0.16,FR  QB/DB,#11,Central City,4,0,0
Matthew Klostermann,6.08,JR  RB/LB,#22,Central City,52,1,0
Cooper McLaughlin,5.48,SO  QB/S,#8,Central City,37,1,0
Carson Schnieder,5.2,SO  QB/DB,#12,West Bend-Mallard,30,1,0
Trey Cota,-0.76,FR  QB/LB,#10,Kee,6,0,1
Carter Smith,5.04,JR  C/DT,#70,Baxter,26,1,0
Dawson Evans,0.08,SO  QB/DB,#1,Lenox,2,0,0
Lucas Madison,5.12,SR  #5 Fremont-Mills,,,28,1,0
Brenden Connett,0.12,SR  RB/LB,#20,Twin Cedars,3,0,0
Dain Sprague,0.8,SO  QB/CB,#3,Calamus-Wheatland,20,0,0
Cal Heydon,0.96,SO  QB/DB,#11,Coon Rapids-Bayard,24,0,0
Triton Gwinn,4.6,SR  RB/LB,#22,Mormon Trail,40,1,1
Drew Eilers,0.2,JR  WR/DL,#2,Gladbrook-Reinbeck,5,0,0
Brody Koski,0.64,FR  QB/LB,#7,Boyer Valley,16,0,0
Jed Bielenberg,-0.4,SR  DE/WR,#15,Siouxland Christian,-10,0,0
Jeremiah Lynam,-0.72,SR  DB/WR,#9,Siouxland Christian,7,0,1
Brody Wolff,0.12,FR  QB/DB,#3,West Central,3,0,0
Gavyn Thordarson,0.04,SO  RB/DE,#8,Melcher-Dallas,1,0,0
Marshawn Taylor,1.44,SR  RB/CB,#12,Rockford,36,0,0
Carter Anderson,-0.12,JR  QB/DB,#15,Northwood-Kensett,-3,0,0
Jackson McDanel,0.32,SR  RB/LB,#30,Moravia,8,0,0
Reece Oswald,-0.64,SR  RB/CB,#27,WACO,9,0,1
Teagan Hanson,0.08,SO  QB/S,#10,GTRA,2,0,0
Mark Bower,0.6,JR  RB/DB,#25,Colo-Nesco,15,0,0
Cal Pryor,6.72,FR  QB/DB,#12,Woodbine,68,1,0
Makade Paulsen,0.72,JR  QB/DB,#3,CAM,18,0,0
Landon Lindgren,0.28,SO  RB/DB,#11,Lamoni,7,0,0
Rider Kupka,1.64,SO  #21 GMG,,,41,0,0
Jonas Buchanan,0.08,SO  #32 GMG,,,2,0,0
Michael Hensley,0.84,JR  RB/LB,#6,Sidney,21,0,0
